,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Oum Hadjer,TD,86.76,clear sky,13.2954,19.6966,
403,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
404,Tutoia,BR,84.38,few clouds,-2.7619,-42.2744,Pousada Guará's
405,Dangriga,BZ,82.33,light rain,16.9692,-88.2321,Chaleanor Hotel
408,Kilindoni,TZ,78.57,clear sky,-7.9139,39.6668,Bustani B&B
409,Miandrivazo,MG,78.94,moderate rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
418,Alyangula,AU,82.85,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
422,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
432,Caravelas,BR,83.48,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
436,Jayuya,PR,81.25,broken clouds,18.2186,-66.5916,Hotel Hacienda Gripiñas
437,Nkwerre,NG,78.87,scattered clouds,5.7556,7.1063,"Trinity Home, ISHI Owerre, Owerre- Nkworji"
438,Edd,ER,83.53,clear sky,13.9297,41.6925,
440,Pawa,PH,77.83,overcast clouds,13.1747,123.7328,Hotel St. Ellis
443,Ishigaki,JP,76.75,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
455,Mucuri,BR,82.38,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
461,Cururupu,BR,87.44,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
462,Sabla,NG,83.97,clear sky,12.7525,4.7077,
465,Kailua,US,77.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
466,Kulhudhuffushi,MV,81.79,broken clouds,6.6221,73.07,Haajy Guest House 1
