City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
550,Taoudenni,ML,22.6783,-3.9836,83.16,13,56,12.06,broken clouds
551,Chaman,PK,30.9236,66.4512,53.26,74,98,5.59,overcast clouds
552,Trinidad,BO,-14.8333,-64.9,93.18,55,75,17.27,broken clouds
553,Bato,PH,13.3528,123.3677,75.92,94,100,3.49,overcast clouds
554,Nyurba,RU,63.2842,118.3319,-26.3,99,19,3.94,few clouds
555,Seoul,KR,37.5683,126.9778,47.64,100,75,3.44,broken clouds
556,Malpe,IN,13.35,74.7167,81.7,84,99,4.94,overcast clouds
557,North Bend,US,43.4065,-124.2243,46.31,76,0,5.75,clear sky
558,Zhumadian,CN,32.9794,114.0294,44.78,73,100,2.75,overcast clouds
559,Puri,IN,19.8,85.85,68.52,56,2,5.7,clear sky
560,Encruzilhada,BR,-15.5314,-40.9094,84.2,46,93,4.12,overcast clouds
561,Talhar,PK,24.8833,68.8167,75.67,54,0,8.63,clear sky
562,San Marco In Lamis,IT,41.7131,15.6399,47.32,80,22,4.34,few clouds
563,Santa Maria,BR,-29.6842,-53.8069,68.25,95,100,6.62,light rain
564,Hachinohe,JP,40.5,141.5,45.09,66,47,18.28,scattered clouds
565,Deputatskiy,RU,69.3,139.9,-24.86,100,99,3.2,overcast clouds
566,San Julian,MX,21.0167,-102.1667,73.92,28,0,7.9,clear sky
567,Kuybyshevo,RU,47.8123,38.9073,48.13,70,43,11.5,scattered clouds
568,Tarbes,FR,43.25,0.1667,60.49,68,0,5.75,clear sky
569,Shu,KZ,43.5983,73.7614,41.32,46,94,4.61,overcast clouds
570,Botou,CN,38.0667,116.5667,40.37,46,95,5.77,overcast clouds
571,Kulevcha,UA,46.0303,29.9361,48.67,80,5,7.52,clear sky
572,Ferkessedougou,CI,9.6,-5.2,78.19,67,87,4.76,light rain
573,Sayyan,YE,15.1718,44.3244,54.93,32,0,5.95,clear sky
574,Ambulu,ID,-8.345,113.6058,76.33,93,92,2.53,overcast clouds
575,Sesheke,ZM,-17.4759,24.2968,75.88,64,100,3.89,overcast clouds
576,Bubaque,GW,11.2833,-15.8333,83.21,61,34,9.1,scattered clouds
577,Teahupoo,PF,-17.8333,-149.2667,73.36,81,100,2.39,overcast clouds
